"","names","MSE"
"1","2",56266005.7135834
"2","2",57708364.5135658
"3","2",52337338.7824775
"4","2",55855301.8884299
"5","2",59336874.9386505
"6","2",54227510.0874926
"7","2",52977850.1525804
"8","2",59077396.5364976
"9","2",53883416.8655705
"10","2",58695344.9212627
"11","2",56034979.6458531
"12","2",52094187.2292624
"13","2",54026858.3487066
"14","2",58802496.3603941
"15","2",51589159.3352425
"16","2",53557230.5073505
"17","2",55952938.2384904
"18","2",57103595.735206
"19","2",52904756.3252372
"20","2",55240402.8497126
"21","2",55605977.585203
"22","2",53225053.0095685
"23","2",52576486.1026014
"24","2",51952054.6194891
"25","2",52519661.4670025
"26","2",50423535.3540828
"27","2",58718076.0528727
"28","2",55728149.2423398
"29","2",53855053.8009802
"30","2",56933622.8456165
"31","5",45746588.7714588
"32","5",39602157.9201397
"33","5",48867996.5935214
"34","5",44987045.8890597
"35","5",44506838.9851932
"36","5",44101013.1968968
"37","5",46436750.8933228
"38","5",46258795.5583092
"39","5",45185675.1773533
"40","5",46061166.8447527
"41","5",42572245.4156478
"42","5",46301618.5881089
"43","5",48218837.4445057
"44","5",47007601.1600144
"45","5",44286442.7343835
"46","5",46085059.8272248
"47","5",48977645.1929299
"48","5",45906466.136488
"49","5",47597837.3941521
"50","5",42994994.4652494
"51","5",45971962.9249214
"52","5",46661948.0095357
"53","5",43934960.6200559
"54","5",46825421.7753041
"55","5",47198511.6747327
"56","5",44339501.2912748
"57","5",48180511.079738
"58","5",45117076.8475558
"59","5",46201407.103796
"60","5",45356870.1868161
"61","10",48387836.0733851
"62","10",45864999.8585096
"63","10",45813896.3445585
"64","10",47930696.4639734
"65","10",44634874.27983
"66","10",42661844.4189679
"67","10",45128337.7356033
"68","10",45892813.3558631
"69","10",46407062.86913
"70","10",50365827.6818737
"71","10",44807561.990136
"72","10",44078120.6716867
"73","10",48601907.0449752
"74","10",47609982.0011585
"75","10",44462921.555114
"76","10",46139305.1750816
"77","10",42660147.5471167
"78","10",46253898.4144472
"79","10",48534896.6732291
"80","10",43732611.4958165
"81","10",51408534.8092906
"82","10",44950514.6466537
"83","10",50042179.9121915
"84","10",46373587.1621064
"85","10",47519584.2267372
"86","10",46494069.9138031
"87","10",44954766.2110981
"88","10",45724319.7450818
"89","10",45865842.1886887
"90","10",49910632.076697
